klasse,datei,split
Bitburger 24x0.33l,19700101_042821_0924.jpg,train
Bitburger 24x0.33l,19700101_030227_0826.jpg,train
Bitburger 24x0.33l,19700101_042109_0885.jpg,train
Bitburger 24x0.33l,19700101_030214_0820.jpg,train
Bitburger 24x0.33l,19700101_042826_0928.jpg,val
Bitburger 24x0.33l,19700101_030157_0799.jpg,val
Bitburger 24x0.33l,19700101_042111_0890.jpg,test
Bitburger 24x0.33l,19700101_042839_0940.jpg,test
Brinkhoffs 20x0.50l,19700101_015606_0220.jpg,train
Brinkhoffs 20x0.50l,19700101_015908_0302.jpg,train
Brinkhoffs 20x0.50l,19700101_015843_0292.jpg,train
Brinkhoffs 20x0.50l,19700101_015602_0218.jpg,train
Brinkhoffs 20x0.50l,19700101_015828_0282.jpg,train
Brinkhoffs 20x0.50l,19700101_015914_0304.jpg,train
Brinkhoffs 20x0.50l,19700101_015555_0215.jpg,val
Brinkhoffs 20x0.50l,19700101_015600_0217.jpg,val
Brinkhoffs 20x0.50l,19700101_015823_0280.jpg,test
Brinkhoffs 20x0.50l,19700101_015604_0219.jpg,test
Budweiser 20x0.50l,19700101_014607_0147.jpg,train
Budweiser 20x0.50l,19700101_015122_0164.jpg,train
Budweiser 20x0.50l,19700101_015116_0161.jpg,train
Budweiser 20x0.50l,19700101_014600_0141.jpg,train
Budweiser 20x0.50l,19700101_014605_0145.jpg,train
Budweiser 20x0.50l,19700101_015128_0167.jpg,train
Budweiser 20x0.50l,19700101_014602_0143.jpg,val
Budweiser 20x0.50l,19700101_014557_0139.jpg,val
Budweiser 20x0.50l,19700101_015118_0162.jpg,test
Budweiser 20x0.50l,19700101_014549_0136.jpg,test
Coca Cola 20x0.50l,19700101_021749_0767.jpg,train
Coca Cola 20x0.50l,19700101_021804_0771.jpg,train
Coca Cola 20x0.50l,19700101_021757_0769.jpg,train
Coca Cola 20x0.50l,19700101_021744_0763.jpg,train
Coca Cola 20x0.50l,19700101_021800_0770.jpg,train
Coca Cola 20x0.50l,19700101_021753_0768.jpg,train
Coca Cola 20x0.50l,19700101_021736_0758.jpg,val
Coca Cola 20x0.50l,19700101_021738_0760.jpg,val
Coca Cola 20x0.50l,19700101_021746_0764.jpg,test
Coca Cola 20x0.50l,19700101_021809_0772.jpg,test
Coca Cola Pet 12x1.00l,19700101_042922_0953.jpg,train
Coca Cola Pet 12x1.00l,19700101_043302_0971.jpg,train
Coca Cola Pet 12x1.00l,19700101_045358_1016.jpg,train
Coca Cola Pet 12x1.00l,19700101_045413_1018.jpg,train
Coca Cola Pet 12x1.00l,19700101_042932_0962.jpg,train
Coca Cola Pet 12x1.00l,19700101_042942_0967.jpg,train
Coca Cola Pet 12x1.00l,19700101_042937_0965.jpg,val
Coca Cola Pet 12x1.00l,19700101_042940_0966.jpg,val
Coca Cola Pet 12x1.00l,19700101_042948_0968.jpg,test
Coca Cola Pet 12x1.00l,19700101_042928_0959.jpg,test
Diebels 24x0.33l,19700101_015635_0240.jpg,train
Diebels 24x0.33l,19700101_015930_0312.jpg,train
Diebels 24x0.33l,19700101_015623_0229.jpg,train
Diebels 24x0.33l,19700101_015856_0296.jpg,train
Diebels 24x0.33l,19700101_015859_0299.jpg,train
Diebels 24x0.33l,19700101_015644_0248.jpg,train
Diebels 24x0.33l,19700101_015923_0307.jpg,val
Diebels 24x0.33l,19700101_015629_0235.jpg,val
Diebels 24x0.33l,19700101_015640_0245.jpg,test
Diebels 24x0.33l,19700101_015638_0242.jpg,test
Gerolsteiner 24x0.25l,19700101_020250_0546.jpg,train
Gerolsteiner 24x0.25l,19700101_020234_0515.jpg,train
Gerolsteiner 24x0.25l,19700101_020238_0523.jpg,train
Gerolsteiner 24x0.25l,19700101_015938_0317.jpg,train
Gerolsteiner 24x0.25l,19700101_015935_0313.jpg,train
Gerolsteiner 24x0.25l,19700101_015951_0333.jpg,train
Gerolsteiner 24x0.25l,19700101_020005_0349.jpg,val
Gerolsteiner 24x0.25l,19700101_015955_0337.jpg,val
Gerolsteiner 24x0.25l,19700101_015958_0341.jpg,test
Gerolsteiner 24x0.25l,19700101_020010_0353.jpg,test
Gerolsteiner Pet 12x1.00l,19700101_042918_0950.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_042926_0955.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_043320_0977.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_045416_1020.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_042926_0954.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_045416_1019.jpg,train
Gerolsteiner Pet 12x1.00l,19700101_045356_1011.jpg,val
Gerolsteiner Pet 12x1.00l,19700101_042918_0951.jpg,val
Gerolsteiner Pet 12x1.00l,19700101_042931_0960.jpg,test
Gerolsteiner Pet 12x1.00l,19700101_045339_0999.jpg,test
Hansa 20x0.50l,19700101_045720_1080.jpg,train
Hansa 20x0.50l,19700101_045807_1096.jpg,train
Hansa 20x0.50l,19700101_023652_0775.jpg,train
Hansa 20x0.50l,19700101_025116_0777.jpg,train
Hansa 20x0.50l,19700101_025115_0776.jpg,val
Hansa 20x0.50l,19700101_025117_0778.jpg,val
Hansa 20x0.50l,19700101_045724_1085.jpg,test
Hansa 20x0.50l,19700101_045736_1088.jpg,test
Haus Cramer Offen 24x0.33l,19700101_012505_0032.jpg,train
Haus Cramer Offen 24x0.33l,19700101_012453_0017.jpg,train
Haus Cramer Offen 24x0.33l,19700101_012457_0022.jpg,train
Haus Cramer Offen 24x0.33l,19700101_013105_0090.jpg,train
Haus Cramer Offen 24x0.33l,19700101_012521_0046.jpg,train
Haus Cramer Offen 24x0.33l,19700101_013107_0096.jpg,train
Haus Cramer Offen 24x0.33l,19700101_013056_0072.jpg,val
Haus Cramer Offen 24x0.33l,19700101_013051_0063.jpg,val
Haus Cramer Offen 24x0.33l,19700101_013114_0105.jpg,test
Haus Cramer Offen 24x0.33l,19700101_013110_0100.jpg,test
Jever 24x0.33l,19700101_045705_1062.jpg,train
Jever 24x0.33l,19700101_045708_1066.jpg,train
Jever 24x0.33l,19700101_045716_1075.jpg,train
Jever 24x0.33l,19700101_045703_1058.jpg,train
Jever 24x0.33l,19700101_045710_1068.jpg,train
Jever 24x0.33l,19700101_045712_1070.jpg,train
Jever 24x0.33l,19700101_045701_1056.jpg,val
Jever 24x0.33l,19700101_045714_1072.jpg,val
Jever 24x0.33l,19700101_045716_1074.jpg,test
Jever 24x0.33l,19700101_045705_1061.jpg,test
Kromb. Radler 24x0.33l,19700101_045657_1054.jpg,train
Kromb. Radler 24x0.33l,19700101_045615_1045.jpg,train
Kromb. Radler 24x0.33l,19700101_045642_1051.jpg,train
Kromb. Radler 24x0.33l,19700101_045627_1047.jpg,train
Kromb. Radler 24x0.33l,19700101_045655_1053.jpg,train
Kromb. Radler 24x0.33l,19700101_045640_1050.jpg,train
Kromb. Radler 24x0.33l,19700101_045629_1049.jpg,val
Kromb. Radler 24x0.33l,19700101_045659_1055.jpg,val
Kromb. Radler 24x0.33l,19700101_045626_1046.jpg,test
Kromb. Radler 24x0.33l,19700101_045644_1052.jpg,test
König Pils Stub 20x0.33l,19700101_045834_1099.jpg,train
König Pils Stub 20x0.33l,19700101_045904_1103.jpg,train
König Pils Stub 20x0.33l,19700101_045908_1105.jpg,train
König Pils Stub 20x0.33l,19700101_045805_1095.jpg,train
König Pils Stub 20x0.33l,19700101_045832_1098.jpg,train
König Pils Stub 20x0.33l,19700101_045838_1101.jpg,train
König Pils Stub 20x0.33l,19700101_045840_1102.jpg,val
König Pils Stub 20x0.33l,19700101_045836_1100.jpg,val
König Pils Stub 20x0.33l,19700101_045906_1104.jpg,test
König Pils Stub 20x0.33l,19700101_045809_1097.jpg,test
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015737_0264.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015752_0276.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015741_0266.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015732_0257.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_020017_0361.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015747_0270.jpg,train
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015744_0268.jpg,val
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015728_0253.jpg,val
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015749_0274.jpg,test
Nürburg Quelle Pet-Cycle 12x1.00l,19700101_015735_0260.jpg,test
Oscar Maxxum 20x0.50l,19700101_043405_0985.jpg,train
Oscar Maxxum 20x0.50l,19700101_045035_0988.jpg,train
Oscar Maxxum 20x0.50l,19700101_043401_0983.jpg,train
Oscar Maxxum 20x0.50l,19700101_043322_0978.jpg,train
Oscar Maxxum 20x0.50l,19700101_043403_0984.jpg,train
Oscar Maxxum 20x0.50l,19700101_043337_0980.jpg,train
Oscar Maxxum 20x0.50l,19700101_043335_0979.jpg,val
Oscar Maxxum 20x0.50l,19700101_043357_0981.jpg,val
Oscar Maxxum 20x0.50l,19700101_043531_0986.jpg,test
Oscar Maxxum 20x0.50l,19700101_043359_0982.jpg,test
Paulaner Spezi 20x0.50l,19700101_045504_1029.jpg,train
Paulaner Spezi 20x0.50l,19700101_045506_1030.jpg,train
Paulaner Spezi 20x0.50l,19700101_045502_1028.jpg,train
Paulaner Spezi 20x0.50l,19700101_045512_1033.jpg,train
Paulaner Spezi 20x0.50l,19700101_045519_1034.jpg,train
Paulaner Spezi 20x0.50l,19700101_045508_1031.jpg,train
Paulaner Spezi 20x0.50l,19700101_045500_1027.jpg,val
Paulaner Spezi 20x0.50l,19700101_045457_1026.jpg,val
Paulaner Spezi 20x0.50l,19700101_045447_1025.jpg,test
Paulaner Spezi 20x0.50l,19700101_045510_1032.jpg,test
Paulaner Teilbar 20x0.50l,19700101_045521_1035.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045539_1038.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045537_1037.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045556_1040.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045611_1043.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045541_1039.jpg,train
Paulaner Teilbar 20x0.50l,19700101_045558_1041.jpg,val
Paulaner Teilbar 20x0.50l,19700101_045613_1044.jpg,val
Paulaner Teilbar 20x0.50l,19700101_045600_1042.jpg,test
Paulaner Teilbar 20x0.50l,19700101_045523_1036.jpg,test
Radeberger 24x0.33l,19700101_021220_0669.jpg,train
Radeberger 24x0.33l,19700101_020915_0631.jpg,train
Radeberger 24x0.33l,19700101_021247_0699.jpg,train
Radeberger 24x0.33l,19700101_020922_0642.jpg,train
Radeberger 24x0.33l,19700101_020948_0661.jpg,train
Radeberger 24x0.33l,19700101_021223_0674.jpg,train
Radeberger 24x0.33l,19700101_021230_0684.jpg,val
Radeberger 24x0.33l,19700101_020953_0662.jpg,val
Radeberger 24x0.33l,19700101_020934_0653.jpg,test
Radeberger 24x0.33l,19700101_021233_0689.jpg,test
Reissdorf 24x0.33l,19700101_030136_0791.jpg,train
Reissdorf 24x0.33l,19700101_030142_0793.jpg,train
Reissdorf 24x0.33l,19700101_042744_0921.jpg,train
Reissdorf 24x0.33l,19700101_030132_0789.jpg,train
Reissdorf 24x0.33l,19700101_042748_0922.jpg,train
Reissdorf 24x0.33l,19700101_042751_0923.jpg,train
Reissdorf 24x0.33l,19700101_042725_0915.jpg,val
Reissdorf 24x0.33l,19700101_042738_0919.jpg,val
Reissdorf 24x0.33l,19700101_042741_0920.jpg,test
Reissdorf 24x0.33l,19700101_042729_0916.jpg,test
Reissdorf Dsp 24x0.33l,19700101_013132_0122.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013125_0116.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013727_0132.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013736_0134.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013741_0135.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013711_0130.jpg,train
Reissdorf Dsp 24x0.33l,19700101_013137_0125.jpg,val
Reissdorf Dsp 24x0.33l,19700101_012346_0002.jpg,val
Reissdorf Dsp 24x0.33l,19700101_013658_0128.jpg,test
Reissdorf Dsp 24x0.33l,19700101_012406_0004.jpg,test
Rheinfels Pet 12x1.00l,19700101_045308_0993.jpg,train
Rheinfels Pet 12x1.00l,19700101_045310_0994.jpg,train
Rheinfels Pet 12x1.00l,19700101_045327_0997.jpg,train
Rheinfels Pet 12x1.00l,19700101_045325_0996.jpg,train
Rheinfels Pet 12x1.00l,19700101_045323_0995.jpg,train
Rheinfels Pet 12x1.00l,19700101_045251_0991.jpg,train
Rheinfels Pet 12x1.00l,19700101_045330_0998.jpg,val
Rheinfels Pet 12x1.00l,19700101_045249_0990.jpg,val
Rheinfels Pet 12x1.00l,19700101_045306_0992.jpg,test
Rheinfels Pet 12x1.00l,19700101_045214_0989.jpg,test
Salvus Pet-Cycle 12x1.00l,19700101_015432_0201.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015411_0195.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015409_0194.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015456_0203.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015430_0200.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015419_0198.jpg,train
Salvus Pet-Cycle 12x1.00l,19700101_015421_0199.jpg,val
Salvus Pet-Cycle 12x1.00l,19700101_015413_0196.jpg,val
Salvus Pet-Cycle 12x1.00l,19700101_015434_0202.jpg,test
Salvus Pet-Cycle 12x1.00l,19700101_015417_0197.jpg,test
Staatl. Fachingen 12x0.75l,19700101_021557_0745.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021329_0711.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021543_0740.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021323_0705.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021552_0744.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021334_0715.jpg,train
Staatl. Fachingen 12x0.75l,19700101_021317_0702.jpg,val
Staatl. Fachingen 12x0.75l,19700101_021321_0704.jpg,val
Staatl. Fachingen 12x0.75l,19700101_021326_0707.jpg,test
Staatl. Fachingen 12x0.75l,19700101_021522_0732.jpg,test
Stauder 20x0.50l,19700101_020637_0623.jpg,train
Stauder 20x0.50l,19700101_020538_0591.jpg,train
Stauder 20x0.50l,19700101_020617_0613.jpg,train
Stauder 20x0.50l,19700101_020627_0618.jpg,train
Stauder 20x0.50l,19700101_020331_0563.jpg,train
Stauder 20x0.50l,19700101_020345_0571.jpg,train
Stauder 20x0.50l,19700101_020634_0622.jpg,val
Stauder 20x0.50l,19700101_020324_0560.jpg,val
Stauder 20x0.50l,19700101_020321_0556.jpg,test
Stauder 20x0.50l,19700101_020631_0620.jpg,test
Stauder Dsp 20x0.50l,19700101_020142_0498.jpg,train
Stauder Dsp 20x0.50l,19700101_020100_0427.jpg,train
Stauder Dsp 20x0.50l,19700101_020140_0494.jpg,train
Stauder Dsp 20x0.50l,19700101_020112_0479.jpg,train
Stauder Dsp 20x0.50l,19700101_020149_0504.jpg,train
Stauder Dsp 20x0.50l,19700101_020602_0606.jpg,train
Stauder Dsp 20x0.50l,19700101_020110_0473.jpg,val
Stauder Dsp 20x0.50l,19700101_020526_0585.jpg,val
Stauder Dsp 20x0.50l,19700101_020546_0596.jpg,test
Stauder Dsp 20x0.50l,19700101_020115_0483.jpg,test
Traugott Alt 20x0.50l,19700101_021731_0755.jpg,train
Traugott Alt 20x0.50l,19700101_021414_0726.jpg,train
Traugott Alt 20x0.50l,19700101_021425_0729.jpg,train
Traugott Alt 20x0.50l,19700101_021721_0750.jpg,train
Traugott Alt 20x0.50l,19700101_021433_0731.jpg,train
Traugott Alt 20x0.50l,19700101_021613_0748.jpg,train
Traugott Alt 20x0.50l,19700101_021405_0723.jpg,val
Traugott Alt 20x0.50l,19700101_021734_0757.jpg,val
Traugott Alt 20x0.50l,19700101_021724_0752.jpg,test
Traugott Alt 20x0.50l,19700101_021411_0725.jpg,test
Vita Malz 24x0.33l,19700101_042654_0912.jpg,train
Vita Malz 24x0.33l,19700101_042630_0906.jpg,train
Vita Malz 24x0.33l,19700101_030345_0860.jpg,train
Vita Malz 24x0.33l,19700101_030323_0853.jpg,train
Vita Malz 24x0.33l,19700101_042649_0911.jpg,train
Vita Malz 24x0.33l,19700101_030335_0855.jpg,train
Vita Malz 24x0.33l,19700101_030341_0858.jpg,val
Vita Malz 24x0.33l,19700101_042640_0909.jpg,val
Vita Malz 24x0.33l,19700101_042635_0907.jpg,test
Vita Malz 24x0.33l,19700101_030337_0856.jpg,test
Wicküler 20x0.50l,19700101_042600_0904.jpg,train
Wicküler 20x0.50l,19700101_042521_0895.jpg,train
Wicküler 20x0.50l,19700101_042551_0902.jpg,train
Wicküler 20x0.50l,19700101_042539_0900.jpg,train
Wicküler 20x0.50l,19700101_042522_0896.jpg,train
Wicküler 20x0.50l,19700101_042526_0897.jpg,train
Wicküler 20x0.50l,19700101_042555_0903.jpg,val
Wicküler 20x0.50l,19700101_042531_0898.jpg,val
Wicküler 20x0.50l,19700101_042545_0901.jpg,test
Wicküler 20x0.50l,19700101_030300_0847.jpg,test
